#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-20 11:15::24.539

Time (s),Channel 1 (V)
-4.0351126373626374e-05,-0.013816126895605796
-4.0341126373626372e-05,-0.020509209295989372
-4.0331126373626371e-05,-0.02720229169638208
-4.0321126373626376e-05,-0.047281538897514686
-4.0311126373626374e-05,-0.037241915296948452
-4.0301126373626373e-05,-0.027202291696372949
-4.0291126373626371e-05,-0.037241915296948452
-4.0281126373626376e-05,-0.017162668095806716
-4.0271126373626374e-05,-0.027202291696372949
-4.0261126373626373e-05,-0.030548832896564737
-4.0251126373626371e-05,-0.033895374096756664
-4.024112637362637e-05,-0.033895374096756664
-4.0231126373626375e-05,-0.033895374096756664
-4.0221126373626373e-05,-0.017162668095797584
-4.0211126373626372e-05,-0.033895374096756664
-4.020112637362637e-05,-0.030548832896564737
-4.0191126373626375e-05,-0.030548832896564737
-4.0181126373626374e-05,-0.027202291696372949
-4.0171126373626372e-05,-0.047281538897523817
-4.016112637362637e-05,-0.040588456497137194
-4.0151126373626376e-05,-0.03389537409675971
-4.0141126373626374e-05,-0.037241915296948452
-4.0131126373626372e-05,-0.020509209295989372
-4.0121126373626371e-05,-0.047281538897523817
-4.0111126373626376e-05,-0.020509209296001547
-4.0101126373626374e-05,-0.047281538897523817
-4.0091126373626373e-05,-0.053974621297907394
-4.0081126373626371e-05,-0.053974621297907394
-4.007112637362637e-05,-0.04058845649714176
-4.0061126373626375e-05,-0.043934997697332029
-4.0051126373626373e-05,-0.030548832896564737
-4.0041126373626372e-05,-0.043934997697332029
-4.003112637362637e-05,-0.03054883289656626
-4.0021126373626375e-05,-0.033895374096755145
-4.0011126373626374e-05,-0.033895374096756664
-4.0001126373626372e-05,-0.040588456497140241
-3.999112637362637e-05,-0.03389537409676275
-3.9981126373626376e-05,-0.047281538897517732
-3.9971126373626374e-05,-0.050628080097715605
-3.9961126373626372e-05,-0.040588456497140241
-3.9951126373626371e-05,-0.053974621297907394
-3.9941126373626376e-05,-0.043934997697336595
-3.9931126373626374e-05,-0.067360786098674547
-3.9921126373626373e-05,-0.070707327298866335
-3.9911126373626371e-05,-0.047281538897523817
-3.990112637362637e-05,-0.050628080097717125
-3.9891126373626375e-05,-0.053974621297907394
-3.9881126373626373e-05,-0.064014244898482758
-3.9871126373626372e-05,-0.043934997697332029
-3.986112637362637e-05,-0.064014244898473627
-3.9851126373626375e-05,-0.043934997697332029
-3.9841126373626374e-05,-0.040588456497140241
-3.9831126373626372e-05,-0.033895374096756664
-3.982112637362637e-05,-0.040588456497135675
-3.9811126373626376e-05,-0.030548832896569303
-3.9801126373626374e-05,-0.037241915296948452
-3.9791126373626372e-05,-0.040588456497140241
-3.9781126373626371e-05,-0.053974621297907394
-3.9771126373626376e-05,-0.043934997697336595
-3.9761126373626374e-05,-0.040588456497140241
-3.9751126373626373e-05,-0.047281538897523817
-3.9741126373626371e-05,-0.037241915296948452
-3.9731126373626369e-05,-0.050628080097706474
-3.9721126373626375e-05,-0.030548832896564737
-3.9711126373626373e-05,-0.050628080097715605
-3.9701126373626371e-05,-0.033895374096756664
-3.969112637362637e-05,-0.040588456497134155
-3.9681126373626375e-05,-0.027202291696372949
-3.9671126373626373e-05,-0.037241915296948452
-3.9661126373626372e-05,-0.053974621297907394
-3.965112637362637e-05,-0.03389537409676275
-3.9641126373626375e-05,-0.047281538897517732
-3.9631126373626374e-05,-0.030548832896564737
-3.9621126373626372e-05,-0.030548832896564737
-3.9611126373626371e-05,-0.037241915296948452
-3.9601126373626376e-05,-0.040588456497138721
-3.9591126373626374e-05,-0.033895374096756664
-3.9581126373626373e-05,-0.040588456497140241
-3.9571126373626371e-05,-0.047281538897523817
-3.9561126373626376e-05,-0.02720229169638208
-3.9551126373626375e-05,-0.043934997697332029
-3.9541126373626373e-05,-0.027202291696372949
-3.9531126373626371e-05,-0.027202291696372949
-3.952112637362637e-05,-0.023855750496187249
-3.9511126373626375e-05,-0.037241915296948452
-3.9501126373626373e-05,-0.023855750496181161
-3.9491126373626372e-05,-0.023855750496181161
-3.948112637362637e-05,-0.040588456497131109
-3.9471126373626375e-05,-0.020509209295998504
-3.9461126373626374e-05,-0.023855750496181161
-3.9451126373626372e-05,-0.023855750496181161
-3.9441126373626371e-05,-0.03054883289656626
