#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E2E1
#Date Time: 2017-05-17 15:17::11.953

Time (s),Channel 1 (V)
-0.0051609285000000001,-0.23083387498453589
-0.0051602985000000004,-0.28406389611579519
-0.0051596685000000007,-0.34727454620910814
-0.0051590385000000001,-0.29737140139854951
-0.0051584085000000003,-0.23083387498453589
-0.0051577785000000006,-0.26742951451227664
-0.0051571485,-0.34062079356771885
-0.0051565185000000003,-0.29737140139861001
-0.0051558885000000006,-0.22750699866383214
-0.0051552585,-0.26742951451233715
-0.0051546285000000002,-0.33396704092635077
-0.0051539985000000005,-0.30402515404001745
-0.0051533685000000008,-0.22750699866390173
-0.0051527385000000002,-0.23416075130523958
-0.0051521085000000005,-0.31400578300212856
-0.0051514785000000007,-0.30735203036072717
-0.0051508485000000001,-0.22750699866383214
-0.0051502185000000004,-0.22418012234312845
-0.0051495885000000007,-0.29737140139854346
-0.0051489585000000001,-0.30735203036072112
-0.0051483285000000004,-0.21752636970172101
-0.0051476985000000006,-0.20754574073960991
-0.0051470685,-0.2940445250779154
-0.0051464385000000003,-0.30402515404001745
-0.0051458085000000006,-0.22750699866383214
-0.0051451785,-0.19756511177756228
-0.0051445485000000003,-0.26742951451227664
-0.0051439185000000005,-0.30735203036072112
-0.0051432884999999999,-0.24414138026730831
-0.0051426585000000002,-0.19756511177749875
-0.0051420285000000005,-0.25412200922946182
-0.0051413985000000008,-0.30402515403997205
-0.0051407685000000002,-0.24414138026735066
-0.0051401385000000004,-0.18758448281538762
-0.0051395085000000007,-0.2374876276258979
-0.0051388785000000001,-0.29404452507790629
-0.0051382485000000004,-0.24746825658805441
-0.0051376185000000007,-0.15764259592913599
-0.0051369885000000001,-0.23748762762598563
-0.0051363585000000003,-0.28406389611579519
-0.0051357285000000006,-0.24746825658805441
-0.0051350985,-0.17760385385329772
-0.0051344685000000003,-0.20089198809820247
-0.0051338385000000005,-0.27408326715368408
-0.0051332085,-0.25412200922939221
-0.0051325785000000002,-0.17760385385327654
-0.0051319485000000005,-0.18425760649468395
-0.0051313185000000008,-0.26077576187079965
-0.0051306885000000002,-0.25744888555016554
-0.0051300585000000004,-0.17095010121186915
-0.0051294285000000007,-0.1609694722497671
-0.0051287985000000001,-0.25744888555016554
-0.0051281685000000004,-0.25744888555016554
-0.0051275385000000007,-0.17760385385334915
-0.0051269085000000001,-0.16096947224982155
-0.0051262785000000003,-0.23083387498453589
-0.0051256485000000006,-0.25412200922946182
-0.0051250185,-0.18093073017394701
-0.0051243885000000003,-0.14433509064623942
-0.0051237585000000006,-0.21419949338101732
-0.0051231285,-0.25079513290869759
-0.0051224985000000002,-0.18425760649468395
-0.0051218685000000005,-0.13102758536342463
-0.0051212385000000008,-0.19091135913603691
-0.0051206085000000002,-0.24746825658805441
-0.0051199785000000005,-0.18758448281538762
